Nom,totalScore,Latitude,Longitude,Rue,postalCode,reviewsCount
Kojax Souflaki,4.4,45.4461943,-73.8537501,"2814 Saint-Charles Blvd, Kirkland, Quebec H9H 3B6, Canada             2814 Bd Saint-Charles, Kirkland, QC H9H 3B6",H9H 3B6,52
Chateau Kabab West Island,4.3,45.5023946,-73.8151377,"4705 Sources Blvd, Pierrefonds, Quebec H8Y 3C6, Canada             4705 Bd des Sources, Pierrefonds, QC H8Y 3C6",H8Y 3C6,1219
Babylon Resto lounge,4,45.4664969,-73.8734094,"4869 Saint-Charles Blvd, Pierrefonds, Quebec H9H 3E4, Canada             4869 Bd Saint-Charles, Pierrefonds, QC H9H 3E4",H9H 3E4,72
Marathon Souvlaki Laval,4.5,45.5405034,-73.7491553,"3938 Boul Notre-Dame, Laval, QC H7W 1S7, Canada",H7W 1S7,2692
Resto Sel et Poivre,4.8,45.4621259,-73.825546,"6600 Trans-Canada Hwy #120, Pointe-Claire, Quebec H9R 4S2, Canada",H9R 4S2,52
The Keg Steakhouse + Bar - Pointe Claire,4.5,45.4640771,-73.8300237,"6815 Trans-Canada Hwy Local F017, Pointe-Claire, Quebec H9R 1C4, Canada",H9R 1C4,1271
Poulet Rouge CF Fairview Pointe-Claire,4.5,45.4628331,-73.83284,"6801 Trans-Canada Hwy, Pointe-Claire, Quebec H9R 5J2, Canada             6801 Route Transcanadienne, Pointe-Claire, QC H9R 5J2",H9R 5J2,154
Pointe Claire Deli,4.6,45.4506258,-73.7866919,"51 Ave Donegani, Pointe-Claire, Quebec H9R 2V8, Canada",H9R 2V8,167
Tripolis,4.5,45.5262111,-73.7669562,"5034 Blvd. Samson, Laval, Quebec H7W 2J1, Canada",H7W 2J1,485
Café Cargo,4.3,45.4669857,-73.779152,"2200 Av. Reverchon, Pointe-Claire, QC H9P 2S7, Canada",H9P 2S7,36
Restaurant Souvlaki Village Grec,4.4,45.5298824,-73.7559231,"4491 Blvd. Samson, Laval, Quebec H7W 2H2, Canada",H7W 2H2,1645
Lucille's Fairview Pointe-Claire,4.1,45.4629548,-73.8330988,"6701 Trans-Canada Hwy, Pointe-Claire, Quebec H9R 5J2, Canada             6701 Route Transcanadienne, Pointe-Claire, QC H9R 5J2",H9R 5J2,478
Cora déjeuners - Breakfast and Lunch,4.2,45.4618333,-73.8201862,"187 Hymus Blvd, Pointe-Claire, Quebec H9R 1E9, Canada             187 Boul Hymus, Pointe-Claire, QC H9R 1E9",H9R 1E9,677
Piazza Romana,3.9,45.4287296,-73.8283659,"339 Chem. du Bord-du-Lac-Lakeshore, Pointe-Claire, QC H9S 4L6, Canada",H9S 4L6,579
Christina's Cuisine,4.7,45.5379859,-73.7585592,"4367 Boul Notre-Dame, Laval, QC H7W 1T3, Canada",H7W 1T3,794
Gorgeous George's,4.8,47.6853634,-122.3556026,"7719 Greenwood Ave N, Seattle, WA 98103",98103,366
Moe's Bar & Grill,4.2,45.4674518,-73.8310228,"940 Boul. Saint-Jean, Pointe-Claire, QC H9R 5N8, Canada",H9R 5N8,670
Almanqal Mediterranean Grill,4.5,47.6614993,-122.3369791,"1712 N 45th St, Seattle, WA 98103",98103,431
Brasserie Le Manoir Pointe-Claire,3.8,45.458708,-73.8228557,"600 Boul. Saint-Jean, Pointe-Claire, QC H9R 3J9, Canada",H9R 3J9,1533
Gyro Stop,4.2,47.789769,-122.217494,"22833 Bothell Everett Hwy # 10, Bothell, WA 98021",98021,284
Taki's Mad Greek,4.4,47.6904523,-122.3757002,"1471 NW 85th St, Seattle, WA 98117",98117,395
Zeitoon Grill House,4.2,47.6761722,-122.2084722,"21 Central Way, Kirkland, WA 98033",98033,726
