Nom,Rue,postalCode,Latitude,Longitude,reviewsCount,totalScore
Lime Griffintown,1510 Notre-Dame St W,H3C 1L1,45.4906012,-73.5663795,344,4.6
Thaï Sep,1900 Rue Jean-Talon E,H2E 1T6,45.5486111,-73.6061111,274,4.5
Saumon Sushi,8519 Boul. Saint-Laurent,H2P 2M9,45.5409809,-73.6377935,169,4.7
Restaurant Keung Kee,70 Rue De La Gauchetière O,H2Z 1C1,45.507253,-73.560407,1094,3.9
Petit Marché végé,7057 R. Saint-Denis,H2S 2S5,45.537987,-73.613323,219,4.7
Maison de Sushi,31 Rue Fleury O,H3L 1S7,45.5481347,-73.6652559,124,4.3
Marché Hung Phat,7099 R. Saint-Denis,H2S 2S5,45.5381895,-73.6137984,580,4.7
Pho An-Nam,"metro Papineau, 1830 Rue Sainte-Catherine E",H2K 2H3,45.5229284,-73.5519057,232,3.8
La Maison de Mademoiselle Dumpling,6381 Rue St-Hubert,H2S 2L9,45.535955,-73.602344,999,4.6
Thai Express Restaurant Montréal,2910 Rue de Salaberry,H3M 1L3,45.536317,-73.70021,178,3.4
Pho Mymy,408 Rue Gilford,H2J 1N2,45.5256578,-73.5860241,203,3.9
Nouilles Etc,6666 R. Sherbrooke E,,45.5831872,-73.5424461,729,4.1
Maison Thaï,1351 Avenue du Mont-Royal E,H2J 1Y8,45.5304947,-73.5771915,341,3.6
Fu Lam Express Jean Talon,6410 Rue Jean-Talon E,H1S 1M8,45.5913928,-73.5750064,1511,3.6
Thaï Express,"5040 Rue Jean-Talon E, Rue Michelet",H1S 1K6,45.575402,-73.582827,329,3.3
Eko Sushi,3502 Notre-Dame St W,H4C 1P4,45.480269,-73.579506,283,4.5
Sushiman,7077 Bd Newman,H8N 1X1,45.447339,-73.617185,118,3.6
Tonkin Express | Restaurant vietnamien et asiatique,8582 Rue Hochelaga,H1L 2M3,45.5999163,-73.520588,148,4
Restaurant Pho Nam Inc,3250 Boul Crémazie E,H2A 3N9,45.5629035,-73.6053541,381,4.3
Restaurant la Mer Jaune,5832 Bd Léger,H1G 1K6,45.6160405,-73.629097,193,3.5
Fung Shing Restaurant,1102 Boul. Saint-Laurent,H2Z 1J5,45.5084469,-73.561151,360,4.1
Kanbai,1110 Rue Clark,H2Z 1K3,45.5080822,-73.5614973,699,4.3
Cuisine AuntDai,1448 Rue St Mathieu,H3H 2H9,45.4943194,-73.5803435,723,4.5
Asie Express,4949 Boul Métropolitain E,H1R 1Z6,45.5787447,-73.5930618,1,3
Restaurant Pho Ngon,3205 Boul Crémazie E,H1Z 4M5,45.5622907,-73.6078301,1227,4.4
Maneki Comptoir Asiat',3121 Rue Hochelaga,H1W 1G3,45.5420356,-73.5546207,445,4
CAFEDEN,6576 Boul. Saint-Laurent,H2S 3C6,45.5311629,-73.6107867,148,4.7
Salut Asie,6361 R. Sherbrooke E,H1N 1C4,45.5802673,-73.5450463,323,4.2
Restaurant Shekz,7272 Bd Maurice-Duplessis,H1E 4A7,45.6234916,-73.6011289,185,4.2
TRAN Cantine Vietnamienne,4690 Notre-Dame St W,H4C 1S6,45.4727902,-73.588592,660,4.5
Kokoro Sushi & Tapas,1150 Rue Sauvé O,H4N 0C6,45.536294,-73.6651491,359,4.5
Inochi Express,7381 Boul. Saint-Laurent,H2R 1W7,45.5358649,-73.6204921,209,4.5
Phở Nam Quan,3562 Rue Jarry E,H1Z 2G3,45.5665722,-73.6068084,525,4.4
Fusion Express,3974 Av. Pierre-De Coubertin,H1W 1E7,45.5525405,-73.5521484,430,4.4
Le Petit Sao (Pointe-Saint-Charles),1870 Rue Centre,H3K 1H7,45.4827747,-73.5621045,328,4.3
Sushi 426,426 Rue Villeray,H2R 1H3,45.5411976,-73.6225375,258,4.3
Duy Anh,7961 Bd Saint-Michel,H1Z 3C9,45.5633893,-73.6081714,208,4
Jardin des Délices,3537 Rue Rachel E,H1W 1A8,45.5495567,-73.5582733,184,4.5
Restaurant Pho Mont Royal,1459 Avenue du Mont-Royal E,H2J 1Y9,45.5311406,-73.5764545,410,4
An Choi Plaza,6553 Rue St-Hubert,H2S 2M5,45.5366659,-73.60391,0,
Szechuan et Nouilles,355 Rue Bernard O,H2V 1T6,45.5235686,-73.6057951,126,3.5
Le Caractère Chinois,1870 Rue Gauthier,H2K 1A3,45.5302264,-73.5665652,75,4.4
La Maison Egg Roll,3741 Rue Wellington,H4G 1V1,45.4664138,-73.566813,143,3.4
Restaurant Pho Bac 01,4707 Rue Wellington,H4G 1X2,45.4577082,-73.5676101,364,3.9
Chef Tang,4123 Rue de Verdun,H4G 1L2,45.4627079,-73.5715767,293,4.2
Restaurant Ô Asie,7060 R. Sherbrooke E,H1N 1E7,45.5872764,-73.5399874,243,4.3
Restaurant Nouilles Impériales,12000 Bd Armand-Bombardier,H1E 1W3,45.6316174,-73.5901522,250,3.2
Fondue Kim Long,3250 Boul Crémazie E,H2A 3N9,45.562774,-73.6054732,251,4.2
Restaurant Phoenix Oriental,7230 Bd Maurice-Duplessis,H1E 4A7,45.6230432,-73.602393,269,4.2
Restaurant Nouveau Kum Mon Inc,5047 Boul Henri-Bourassa E,H1G 2S1,45.6031219,-73.6313366,117,4.1
Restaurant Kim Hour,7682 Bd Saint-Michel,H2A 3A5,45.5616501,-73.6052225,439,4.1
Pho Fleury,1031 Rue Fleury E,H2C 1P8,45.558189,-73.659329,70,4.3
Hương Xưa Restaurant,7061 Rue Jarry E,H1J 1G3,45.6010811,-73.5767203,354,4.5
La Paz Batchoy MTL,4735 Av. Van Horne,H3W 1H8,45.4950906,-73.6372361,4,5
Thaï Express,10734 Bd Pie-IX,H1H 4A7,45.589271,-73.636365,225,3.9
Pho Lien,5703B Chem. de la Côte des Neiges,H3S 1Y7,45.4989641,-73.6276097,1850,4.4
Nouilles Star,1871 Sainte-Catherine O,H3H 1M2,45.4929995,-73.580451,1037,4.2
Sushi Plus,2101 Av Dollard,H8N 1S2,45.4329424,-73.6355735,1114,4.1
Restaurant FamiLi,7215 Rue St-Hubert,H2R 2N2,45.5412296,-73.6140892,159,3.9
Pho 99 Chabanel,9347 Boul. Saint-Laurent,H2N 1P6,45.5447808,-73.6517133,120,4.2
Banh Mi Saigon Jarry,696 Rue Jarry E,H2P 1V9,45.545336,-73.6269976,350,4.6
Restaurant Pho DO,676 Rue Jarry E,H2P 1V9,45.5451341,-73.6271686,214,4.8
Banh Mi Thinh,8084 Rue Lajeunesse,H2R 2J6,45.543457,-73.6281122,80,4.3
Bols d'Asie & Queen Tea,7058 Rue St-Hubert,H2S 2M9,45.5399954,-73.6118721,15,4.7
La Merveille du Vietnam,1283 Rue Beaubien E,H2S 1V1,45.5397567,-73.5999146,173,3
Restaurant Rizière,4495 Boul. Saint-Laurent,H2W 1Z8,45.520141,-73.5862005,354,4.8
Suisen Sushi - Pho Lam Ici,2641 Rue Masson,H1Y 1W1,45.5457551,-73.5765226,207,4.1
Juste Nouilles Inc,3181 Rue Masson,H1Y 1Y2,45.550165,-73.5739401,502,3.5
Viet Express,4536 Rue Wellington,H4G 1W7,45.4588786,-73.5672225,218,4
Thaï Express,"Le Campanille, 38 Pl. du Commerce",H3E 1T8,45.467473,-73.541526,154,3.9
Dragon de Chine,4596 Rue de Verdun,H4G 1M3,45.4588034,-73.5715824,251,3.3
Kokochi Izakaya,5145 Rue Wellington,H4G 1Y2,45.4549125,-73.567969,211,4.1
Le Petit Sao (île des soeurs),"Centre Commercial Le Village, 40 Pl. du Commerce #20",H3E 1J6,45.4667273,-73.5424634,420,4.3
Restaurant Kim Jian,3270 Rue Jean-Talon E,H2A 1W3,45.5592404,-73.5976793,68,3.9
Restaurant Ho Guom,2605 Rue Jean-Talon E,H2A 1V1,45.5552862,-73.6008659,603,4.3
Pho Lam,8485 Bd Saint-Michel,H1Z 3E7,45.567216,-73.616604,114,4.6
Épicerie Banh Mi Linh,2151 Rue Fleury E,H2B 1J9,45.5718118,-73.6507975,130,4.4
Restaurant Li Wah,10815 Bd Pie-IX,H1H 3Y2,45.590551,-73.636596,133,3.6
Restaurant Kim,7624 Rue Centrale,H8P 1K9,45.4317781,-73.5975126,4,5
SushiTime,4707 Rue de Charleroi,H1H 1V1,45.5965481,-73.6321081,38,4.3
Bol de ramen.,1714 Rue Fleury E,H2C 1T2,45.5662296,-73.6542107,130,3.9
Excellent hot pot,2036 Rue Lapierre,H8N 2S2,45.4365799,-73.6150305,74,4.1
Mr. Dumpling,5045 Rue Wellington,H3G 1Y1,45.4556418,-73.5677819,318,4.5
Deli Lee,2050 Rue Lapierre,H8N 2L1,45.4368142,-73.615837,4,5
Nasu Thé,3120 Rue Denis Papin,H1Z 1W6,45.5672834,-73.6228465,10,4.5
Restaurant Nam Do,7087 R. Saint-Denis,H2S 2S5,45.5381296,-73.6136401,195,4.3
Tchang Kiang by Yangtze,6066 Rue Sherbrooke O,H4A 1Y1,45.467883,-73.6205399,272,3.9
Restaurant Thai Son,7093 R. Saint-Denis,H2S 2S5,45.538163,-73.613757,159,4.2
Pho Hao,6230 Chem. de la Côte des Neiges,H3S 2A1,45.5009518,-73.6327717,518,4.1
Restaurant Doan,1356 Av. Van Horne,H2V 1K5,45.5206929,-73.6144717,99,4.4
Chez LK,5000 Chem. Queen Mary,H3W 1W9,45.4855565,-73.627295,32,4.9
Gio Cha,237 Rue Jean-Talon O,H2R 2X6,45.5320405,-73.620931,0,
Bánh Mì Soleil de Saigon,1227 Avenue du Mont-Royal E,H2J 1Y2,45.5291095,-73.578354,119,4.7
Aux Sept Bonheurs,4201 Bd Rosemont,H1T 2C7,45.5615633,-73.5733713,157,3.7
Restaurant My Tien,18 Rue Jean-Talon O,H2R 2W5,45.5342528,-73.6184398,96,4.4
O Fuzion,2862 Bd Rosemont,H1Y 1L7,45.5500472,-73.5829601,162,3.9
Le Mekong,921 Avenue du Mont-Royal E,H2J 1X3,45.5268438,-73.5804779,303,4.5
Pho Mai,4549 Rue Jarry E,H1R 1X6,45.5762841,-73.599011,131,4.4
Restaurant Nguyen Phi,6260 Chem. de la Côte des Neiges,H3S 2A3,45.5012969,-73.6336206,621,4.5
