Nom,totalScore,Latitude,Longitude,Rue,postalCode,reviewsCount
Madisons Restaurant & Bar,4.1,45.485883,-73.801349,11590 Salaberry Blvd,H9B 2R8,932
Le Vieux Four Manago,4.3,45.4573275,-73.8645412,3636 Saint-Charles Blvd,H9H 3C3,1022
Pizzeria Bros (West Island),4.6,45.4524928,-73.8566839,16952 Trans-Canada Hwy,H9H 0C5,219
Susanna Trattoria,4.6,45.4632164,-73.8699826,4563 Saint-Charles Blvd,H9H 3C7,90
Pizza Hut Dollard des Ormeaux,3.4,45.4777289,-73.8386695,4073 Boul. Saint-Jean,H9G 2R4,182
Resto-Pub,,45.4880164,-73.8490837,Boul. Saint-Jean,H9H 2A7,0
Pizza Spano,4.5,45.4908379,-73.7770956,1360 Sunnybrooke Blvd,H9B 2W5,562
Tevere Express,3.6,45.4910633,-73.8518974,4920 Boul. Saint-Jean,H9H 4B2,80
Pizza Salvatoré,4,45.4852075,-73.7963073,3343 Bd des Sources E,H9B 1Z8,342
Bistro Cavendish,4.1,45.4757776,-73.6654592,5800 Cavendish Blvd,H4W 2T5,17
