Nom,totalScore,Latitude,Longitude,Rue,postalCode,reviewsCount
East Pan Asiatique Cuisine et Bar,4.3,45.5027778,-73.5694444,"1250, Boulevard Robert-Bourassa, Street Level",H3B 3B8,289
Restaurant 2K Fusion,3.2,45.5356392,-73.6172845,89 Rue Jean-Talon E,H2R 1S6,253
Restaurant Kim San,3.9,45.604837,-73.5304038,8731 Sherbrooke St E,H1L 1C2,205
Chalet Thaï,4,45.4033981,-73.9516507,96 Sainte Anne St,H9X 1L8,195
Golden,4.4,45.4979545,-73.7839368,1113 Hyman St,H9B 1M5,188
Cebu's Taste,4.6,45.4801722,-73.8427665,4230 Boul. Saint-Jean Suite 107,H9H 3X4,64
Pho Zui Zui,4.3,45.4937058,-73.805925,9 Rue Sunnydale,H9B 1E2,577
Peking Garden Restaurant,3.6,45.4888033,-73.8507418,4794 Boul. Saint-Jean,H9H 5G9,387
Matjip - Korean BBQ & Chicken,4.5,45.4849564,-73.7963286,3343-A Sources Blvd,H9B 1Z8,396
Aikawa Sushi Restaurant West Island Montreal,4.4,45.4847502,-73.7953054,55 Brunswick Blvd,H9B 1P7,499
Sushi Shop,4,45.467377,-73.824327,6321 Trans-Canada Hwy,H9R 5A5,133
Restaurant Ken Ching,4.1,45.5213485,-73.7939406,270 Blvd. Samson,H7X 3C1,377
Restaurant Pompom Rouge,4.4,45.52713,-73.811591,545 Blvd. Samson,H7X 1J5,44
San Fu West Island,5,45.5035049,-73.8418211,13087 Boul Gouin O,H8Z 1X1,6
Oko Sushi,4.5,45.4579444,-73.862891,114 Rue du Barry,H9H 4P8,153
Mandy's,3.9,45.4852617,-73.8011776,"11602-B De, Salaberry Blvd",H9B 2R8,385
MALA EXPRESS,4.7,45.4571246,-73.8645552,3630 Saint-Charles Blvd,H9H 3C3,54
Pizza Salvatoré,4,45.4852075,-73.7963073,3343 Bd des Sources E,H9B 1Z8,349
Elixor,4.2,45.4828016,-73.7935806,3237 Sources Blvd,H9B 1Z6,921
Enoteca Monza Pizzeria Moderna,4.2,45.4741549,-73.8368847,3800 Boul. Saint-Jean,H9G 1X1,1276
Restaurant Boustan,4.2,45.4859597,-73.7998149,3510A Sources Blvd,H9B 1Z9,172
Ten Restaurant,4.4,45.5088799,-73.8213719,11655 Boul Gouin O,H8Y 1Y4,272
Marathon Souvlaki,4.4,45.4833079,-73.7939721,3313 Sources Blvd,H9B 1Z6,1666
Chateau Kabab West Island,4.3,45.5023946,-73.8151377,4705 Sources Blvd,H8Y 3C6,1220
Madisons Restaurant & Bar,4.1,45.485883,-73.801349,11590 Salaberry Blvd,H9B 2R8,934
Boustan St-Jean,4.2,45.4746866,-73.8374632,3980 Boul. Saint-Jean,H9G 1W9,1202
3 Soeurs,4.6,45.4722298,-73.8328374,3693 Boul. Saint-Jean,H9G 1X2,127
